abandon,버리다
pull,"끌다, 당기다, 끌어 당기다, 잡아 끌다"
pump,펌프스   댄스용 구두
punch,"주먹질, 펀치  힘, 활기"
punish,"벌하다, 응징하다, 처형하다"
pupil,흔히 국민학교 중학교 학생
purchase,"사다, 구입하다"
pure,"순수한  깨끗한, 순전한, 결백한"
purple,자줏빛의  새빨간  제왕의
purpose,목적
pursue,"쫓다, 추적하다, 몰다"
qualify,자격을 부여하다
quality,질
quantity,양
quarter,1
questionnaire,질문표
quit,"(의무,책임을)벗어난 떠나다"
quite,아주
quote,인용하다
racial,인종(상)의
rage,격노
rail,가로장
raise,올리다
rally,규합하다
random,닥치는 대로의
range,줄
rank,열
rapid,빠른
rare,희귀한
rat,쥐
rate,율
rather,오히려
rational,합리적인
raw,날것의
reach,도착하다
react,반응을 나타내다
real,실재하는
realize,깨닫다
rear,뒤
reason,이성
rebel,반역자
recall,되부르다
receipt,수령
receive,받다
recent,최근의
reception,받음
recipe,조리법
recognize,인정하다
recommend,추천하다
record,기록하다
recover,되찾다
recruit,신병
recycle,재생 이용하다
reduce,줄이다
refer,조회시키다
refine,정제정련하다
reflect,반사하다
reform,개정(개혁)하다
refrigerator,냉장고
refuse,거절하다
regard,주목해서 보다
region,지방
register,기록
regret,유감
regular,규칙적인
regulate,규정하다
reinforce,보강하다
reject,거절하다
relate,이야기하다
relative,친척
relax,늦추다
release,도와주다
relevant,관련된
relieve,구출하다
religion,종교
reluctant,마음이 내키지 않는
rely,믿다
remain,남다
remark,깨닫다
remedy,치료
remind,생각나게 하다
remote,먼
remove,옮기다
rent,지대
repair,수선(수정)하다
repeat,반복하다
replace,되돌려 놓다
reply,대답하다
report,보고
represent,표현(묘사)하다
republic,공화국
reputation,평판
request,부탁하다
require,요구하다
rescue,구하다
research,연구
resemble,닮다
reserve,따로 두다
reside,거주하다
resign,사임하다
resist,저항하다
resolve,분해하다
resort,(자주)가다
resource,자원
respect,존경하다
respective,각각의
respond,대답하다
responsible,책임을 져야할
rest,휴식
restore,반환하다
restrain,제지하다
restrict,제한하다
result,결과
resume,다시 잡다
retail,소매
retain,보유하다
retire,퇴직하다
retreat,후퇴
reveal,나타내다
revenge,복수
reverse,역
review,재조사
revise,교정하다
revive,소생하다
revolution,혁명
reward,보수
rhythm,율동
rice,쌀
rid,면하게하다
ride,타다
ridiculous,어리석은
riot,"폭동, 소요, 소동   야단법석, 다채로움,"
rise,올리다
risk,위험 걸다
rival,경쟁자 경쟁하는 경쟁하다
roar,으르렁거리다 으르렁소리
roast,불에 쬐어 굽다 불고기 구운
rob,"강탈하다, 약탈하다, 빼앗다"
rod,막대
role,(배우의)역
roll,구르다
romantic,전기소설적인
root,뿌리
rope,새끼
rot,썩다
rough,거친
round,둥근 원 돌아서
route,길
routine,정해진 일
row,줄
royal,왕의
rub,마찰하다
rubber,맛사지사
rude,버릇없는
ruin,파멸
rule,규칙
rumor,소문
rural,시골의
rush,돌진하다
sack,마대
sacred,신성한
sacrifice,희생
sail,돛
salary,봉급 봉급을 주다
salon,객실
satellite,위성
satisfy,만족시키다
scale,비늘(모양의 것)
scan,시의 운율을살피다
scandal,추문
scarce,부족한
scare,위협하다
scatter,뿔뿔이 흩어 버리다
scene,장면
scheme,계획
scholar,학자
scold,꾸짖다 잔소리 심한 사람
scope,범위
scramble,기다
scratch,"할퀴다, 할퀴어 상처 를 내다  긁다"
scream,비명을 지르다
screen,병풍
screw,나사
scrub,(관목의)숲
sculpture,조각 조각하다
seal,인장
search,찾다
seat,좌석
secret,비밀의
secretary,비서
sector,부채꼴
secure,안전한
seed,씨앗
seek,찾다
seem,~으로 보이다
seize,붙잡다
select,고르다
self,자기
senior,연상의
sensation,감각
sense,감각
sensible,분별있는
sentence,문장
sentiment,정서
separate,분리된
sequence,연속
series,연속
serious,진지한
serve,섬기다
session,개회
settle,등받이가 높은 긴 의자 놓다
several,수개의
severe,호된
sew,꿰매다
sex,성
shade,그늘
shadow,그림자
shake,흔들어 움직이다
shall,au-하겠다
shallow,얕은 얕은 곳 얕아지다
shame,부끄럼
shape,모양
share,몫
sharp,날카로운
shave,깎다
sheep,양
sheet,깔천
shelf,선반
shell,겉껍질
shelter,피난처
shield,방패
shift,옮기다
shine,빛나다
shoot,쏘다
shore,물가
shoulder,어깨
shout,외치다
shower,소나기 빗발치듯 퍼붓다(쏟다)
shrink,줄어들다
shut,닫다
sigh,한숨
sight,광경
sign,부호
significant,중요한
silent,조용한
silk,비단
silly,어리석은 바보
silver,은
similar,유사한
simple,단일의
simulate,흉내내다
simultaneous,동시에 일어나는(존재하는)
sin,사인
since,~이래
single,단 하나의
sink,가라앉다
site,부지
situation,장소
skill,숙련
skip,도약
slaughter,도살
slave,노예 노예처럼 일하다
slice,얇은조각
slide,미끄러지다
slight,약간의
slim,호리호리한
slip,(때가)어느덧 지나가다
slope,비탈
smash,박살내다
smoke,연기
smooth,매끄러운
snake,뱀
snap,덥석 물다
sneak,몰래 움직이다
sniff,코를 킁킁거리다
soak,담그다
soap,비누 비누로 씻다
social,사회의
society,사회
sociology,사회학
software,소프트웨어
soil,흙
soldier,군인
sole,유일한 발바닥
solid,고체의
solo,독주
solve,해결하다
somewhat,약간
soon,얼마 안 가서
sophisticated,물정에 닳고 닳은
sore,슬픈
sort,종류
soul,혼
source,원천
span,한 뼘
spare,여분의
spark,불꽃
special,특별한
species,종
specific,특정한
spectacle,광경
spectrum,스펙트럼
speech,연설
spell,철자하다
spend,소비하다
sphere,구
spill,엎지르다
spin,잣다
spirit,정신
spit,침을 뱉다
spite,악의
splash,튀기다
split,쪼개다
spoil,망쳐놓다
spot,장소
spouse,배우자
spread,펴다
square,정사각형의
squeeze,압착하다
stable,안정된
stack,낟가리
stage,무대
stain,더럽히다
stairs,계단
stamp,도장
standard,표준
stare,응시하다
starve,굶어 죽다
state,상태
station,역
statistic,통계의 통계량
statue,조상
status,신분
steady,확고한
steal,훔치다
steam,증기
steel,강철
steep,가파른 -에 담그다 잠기다 담그기
stem,줄기
step,걷다
stick,나무토막
stiff,굳은
still,소리가 없는 아직(도)
stimulate,자극하다
stir,휘젓다
stitch,한 바늘
stock,줄기
stomach,위
storm,폭풍
stove,stave의 과거(분사)
straight,곧은
strain,잡아당기다
strange,이상한
strategy,용병학
straw,짚
stream,시내
stretch,뻗치다
strict,엄중한
strike,치다
string,끈
strip,벗기다
stripe,줄무늬
stroke,한번치기
structure,구조
struggle,버둥거리다
stuff,재료
subject,복종시키다
subjective,주관의
submarine,잠수함
submit,복종시키다
subscribe,서명승락하다
substance,물질
substantial,실체의
substitute,대용하다 대신하다 대리(인)
subtle,미묘한
suburb,교외
succeed,성공하다
such,이러한
suck,빨다
sudden,별안간의
suffer,경험하다
sufficient,충분한
suggest,암시하다
suicide,자살 자살하다
suit,소송
suite,수행원
sum,총계
summary,요약
summit,꼭대기
super,임시고용배우
superb,장려한
superior,뛰어난
supervise,감독하다
supplement,부록
supply,공급하다
support,지탱하다
suppose,상상하다
sure,"확신하는, 확실한 , 틀림없는"
surface,표면
surgery,외과
surprise,놀람
surrender,넘겨주다
surround,에워싸다
survey,둘러보다
survive,살아 남다
suspect,짐작하다
suspend,매달다
sustain,떠받치다
swallow,삼키다
swear,맹세하다
sweat,땀
sweep,청소하다
sweet,단
swell,부풀다
swift,빠른
swing,흔들리다
switch,회초리
symbol,상징
sympathy,동정
symphony,교향곡
symptom,조짐
system,조직
tackle,고패
tag,손잡이가죽
tale,이야기
talent,재주
tap,가볍게 치기
target,과녁
task,일
tattoo,귀영나팔
tax,세금
tea,차
tear,눈물
tease,괴롭히다
teenage,10대
telegraph,전신
temperature,온도
temple,관자놀이
temporary,일시적인
tempt,유혹하다
tenant,차지인
tend,(-의)경향이 있다
tender,제공
tense,시제
term,기간
terminal,종점의
terminate,끝내다
terrace,계단모양의 뜰(광장)
terrible,무시무시한
terrific,무서운
territory,영토
testify,증명하다
text,원문
theater,#NAME?
theme,논제
then,그때
theory,이론
therapy,치료법
therefore,그런 까닭에
thick,두꺼운
thief,도둑
thin,얇은
thorough,완전한
though,~임에도 불구하고 그러나
thousand,천
thread,실
threat,협박
thrill,오싹하다 오싹함
throat,목
through,(-을)통하여 통하여 직통의
throw,던지다
thumb,엄지손가락 엄지손가락으로 만지다
thus,이렇게
tick,시계소리
tide,조수
tidy,말쑥한
tie,매다
tight,단단한
till,~까지
timber,재목
tin,주석
tiny,자그마한
tip,끝
tire,피로하게 하다
tissue,조직
title,표제
tobacco,담배
toe,발가락
toilet,화장실
tone,음조
tongue,혀
tool,사용세
torture,고문
toss,던지다
total,총계 전체의 합계하다
tough,단단한
toward,~쪽으로
toxic,독의
trace,발자국
trade,매매
tradition,전설
traffic,교통
tragic,비극의
trail,질질 끌다
transact,처리하다
transfer,옮기다
transform,"변형(변용,변태)시키다"
transition,변천
translate,번역하다
transmit,보내다
transport,수송(운송)하다
trap,덫
tray,쟁반
treasure,보물
treat,대우하다
treaty,조약
tremendous,무서운
trend,방향
trial,시험
tribe,종족
trick,책략
trigger,방아쇠 재빠른
trim,산뜻한 정돈하다
triumph,승리
troop,대
trophy,전리품
trouble,고생
trouser,즈봉
trunk,줄기
trust,신용
truth,진리
tube,관
tune,곡
tunnel,터널
turnover,전복
tutor,가정교사
twin,쌍동이
twist,꼬이다
typical,전형적인
ultimate,최후의
undergo,(영향 등을)받다
underlie,~의 밑에 있다
undermine,~밑을 파다
undertake,떠맡다
uniform,한결같은
unify,하나로 하다
union,결합
unique,유일무이한
unit,단위
unite,결합하다
universe,우주
university,종합대학(교) 대학의(에 관계 있는)
unless,~하지 않으면
until,~까지
update,새롭게 하다 최신정보
upon,~의 위에
upper,위쪽의
upset,뒤집어 엎다
upward,위로 향한
urban,도시의
urge,몰아대다
urgent,긴급한
usual,평소의
utilize,~을 이용하다
utter,전적인
vacation,휴가
vacuum,진공
vague,막연한
valid,유효한
valley,골짜기
value,가치
van,유개트럭
vanish,자취를 감추다
various,가지가지의
vary,바꾸다
vast,"광대한, 광막한 막대한"
vehicle,"운반 기구, 운송 수단,  수레, 차량, 탈것"
venture,모험
verbal,"말의, 말에 관한, 언어상의, 말로 나타낸, 말로 된"
verse,"시의 한 줄, 시구  일련의 시구"
version,"번역, 번역문 개작, 각색, 번안"
versus,"…대, …에 대한"
vertical,"수평면에 직각인, 수직의"
vessel,그릇
veteran,"노련가, 경험 많은 대가, 베테랑"
veterinarian,수의사
via,"…을 거쳐, …을 경유하여"
vice,"악덕,  비행, 타락 행위"
victim,"희생, 산 제물, 인신 제물"
victory,"승리, 전승"
view,"봄, 관찰, 개관, 실지 검증  보는 힘, 시계, 시야"
vigorous,"정력적인, 강건한, 활기 있는, 격렬한"
village,"마을, 촌락"
violent,"격렬한, 맹렬한"
virgin,"처녀, 동정녀, 미혼 여성, 동정녀 마리아"
virtual,"사실상의, 실질상의, 실제의  허상의"
virtue,"덕, 덕행, 선, 선행"
visible,"눈에 보이는,  볼 수 있는"
visual,"시각의, 물건을 보기 위한"
vital,"생명의, 생명에 관한, 생명유지에 필요한, 살아 있는"
vivid,"발랄한, 약동적인, 힘찬, 생기있는"
vocabulary,"어휘, 용어수, 용어 범위"
vocation,"천직, 사명 직업, 생업, 장사  적성, 소질, 재능"
volume,책  권
voluntary,"자발적인, 수의의"
vote,"찬부 표시, 투표, 표결"
voyage,여행
wage,임금
wagon,짐마차
wander,헤매다
warehouse,창고
warn,경고하다
warrant,보증하다 보증
warrior,병사
waste,낭비하다
wave,물결
weak,약한
wealth,재산
weapon,무기
weave,짜다
weed,잡초 잡초를 뽑다
weigh,무게를 달다
weird,불가사의한
welfare,행복
whale,고래
wheat,밀
wheel,바퀴
whereas,cnj.(-인)까닭에
whether,~인지 어떤지
which,어느 쪽
while,동안 -하는 동안
whip,채찍 채찍질하다
whisper,속삭이다
whistle,휘파람
whole,전체의
wicked,사악한
wide,폭넓은
widespread,널리 보급되어 있는
widow,미망인
wild,야생의
wing,날개
wipe,닦다
wire,철사
wise,슬기로운
wit,기지
withdraw,물러나다
within,prop.-의 안쪽에 안으로 내부
without,prop.-없이 밖은
witness,증언
wonder,경이
wool,양모
worship,숭배
worth,가치가 있는 가치
would,auwill의 과거
wound,부상
wrap,싸다
wreck,난파
yell,고함치다
yet,아직
yield,산출하다
zone,대
